Cost Function,Theta0,Theta1,Iteration
2329.4217,0,0,1
2283.15800578027,0.6818199999999999,0.009102653061224514,2
2237.8148086199294,1.3568218,0.018197410964181607,3
2193.3737908883795,2.025073582,0.02728428055671266,4
2149.8169994754153,2.68664284618,0.03636326868071961,5
2107.1268385372755,3.3415964177181996,0.04543438217217001,6
2065.286062387036,3.990000453541018,0.05449762786110233,7
2024.2777685264953,4.631920449005608,0.06355301257163098,8
1984.085390816715,5.2674212445155515,0.0726005431219515,9
1944.6926927844743,5.896567032070396,0.0816402263243457,10
1906.0837610619212,6.519421361749692,0.09067206898518683,11
1868.2429989567765,7.136047148132195,0.09969607790494457,12
1831.1551201504924,7.746506676650873,0.10871225987819029,13
1794.8051425218137,8.350861609884365,0.11772062169360206,14
1759.178382093256,8.949172993785522,0.12672117013396986,15
1724.2604470980386,9.541501263847668,0.13571391197620059,16
1690.037232165103,10.127906251209192,0.14469885399132326,17
1656.494912619825,10.7084471886971,0.15367600294449407,18
1623.6199388981718,11.28318271681013,0.1626453655950014,19
1591.3990310719862,11.852170889642029,0.17160694869627102,20
1559.819173483248,12.415469180745609,0.18056075899587118,21
1528.86760948509,12.973134488938152,0.18950680323551763,22
1498.5318362874768,13.52522314404877,0.19844508815107864,23
1468.799599905461,14.071790912608282,0.20737562047258026,24
1439.6588902079563,14.612893003482199,0.21629840692421118,25
1411.0979360650497,15.148584073447378,0.22521345422432792,26
1383.1052005918768,15.678918232712903,0.2341207690854599,27
1355.6693764871497,16.203949050385773,0.24302035821431436,28
1328.7793814644403,16.723729559881917,0.2519122283117815,29
1302.4243537743885,17.2383122642831,0.26079638607293965,30
1276.593647816013,17.74774914164027,0.26967283818706006,31
1251.2768298353599,18.252091650223868,0.27854159133761214,32
1226.4636737097503,18.751390733721628,0.2874026522022683,33
1202.1441568159146,19.24569682638441,0.2962560274529092,34
1178.308455980358,19.735059858120565,0.30510172375562855,35
1154.946943510308,20.21952925953936,0.31393974777073846,36
1132.0501833036521,20.699153966943967,0.322770106152774,37
1109.608927036282,21.173982427274527,0.33159280555049864,38
1087.6141104253131,21.64406260300178,0.3404078526069089,39
1066.0568495666632,22.109441976971763,0.3492152539592397,40
1044.928437345517,22.570167557202044,0.3580150162389689,41
1024.2203399182213,23.026285881630024,0.3668071460718229,42
1003.9241932641859,23.477843022813722,0.375591650077781,43
984.0317998064087,23.924884592585585,0.38436853487108086,44
964.5351250992481,24.36745574665973,0.3931378070602233,45
945.4262945821088,24.805601189193133,0.40189947324797715,46
926.6975903977318,25.239365177301202,0.4106535400313845,47
908.3414482737966,25.668791525528192,0.4194000140017654,48
890.3504544665833,26.09392361027291,0.4281389017447231,49
872.717342765454,26.51480437417018,0.43687020984014857,50
855.4349915569437,26.931476330428477,0.445593944862226,51
838.4964209472803,27.343981567124192,0.45431011337943733,52
821.8947899421596,27.752361751452952,0.4630187219545674,53
805.6233936826495,28.15665813393842,0.4717197771447088,54
789.6756607360966,28.556911552599036,0.480413285501267,55
774.0451504409418,28.953162437073047,0.48909925356996486,56
758.725550304379,29.345450812702317,0.4977776878908481,57
743.7106734517948,29.733816304575296,0.5064485949982896,58
728.9944561269709,30.118298141529543,0.5151119814209952,59
714.570955242025,30.498935160114247,0.5237678536820076,60
700.4343459761131,30.875765808513105,0.532416218298712,61
686.5789194219169,31.248828150427975,0.5410570817828406,62
672.9990802789648,31.618159868923694,0.549690450640478,63
659.6893445928556,31.98379827023446,0.5583163313720653,64
646.6443375394736,32.345780287532115,0.5669347304724058,65
633.858791253296,32.70414248465679,0.5755456544306696,66
621.3275426989173,33.058921059810224,0.5841491097303981,67
609.0455315849318,33.41015184921212,0.5927451028495095,68
597.0077983193274,33.757870330719996,0.6013336402603033,69
585.2094820055689,34.102111627412796,0.6099147284294654,70
573.6458184785588,34.44291051113867,0.6184883738180724,71
562.312138379683,34.780301406027284,0.6270545828815975,72
551.203865270161,35.11431839196701,0.6356133620699145,73
540.3165137819433,35.44499520804734,0.6441647178273029,74
529.6456878054033,35.77236525596687,0.6527086565924527,75
